id,department_code,insee_code,zip_code,name,slug,gps_lat,gps_lng
1,01,01001,01400,L'Abergement-Clémenciat,"l abergement clemenciat",46.156781992032,4.9246992031872
2,01,01002,01640,L'Abergement-de-Varey,"l abergement de varey",46.010085625,5.4287591666667
3,01,01004,01500,Ambérieu-en-Bugey,"amberieu en bugey",45.958409392265,5.3759920441989
4,01,01005,01330,Ambérieux-en-Dombes,"amberieux en dombes",46.000120392157,4.9106016993464
5,01,01006,01300,Ambléon,ambleon,45.746426904762,5.6024917857143
6,01,01007,01500,Ambronay,ambronay,46.001447160494,5.3665422839506
7,01,01008,01500,Ambutrix,ambutrix,45.935983243243,5.3318304054054
8,01,01009,01300,Andert-et-Condon,"andert et condon",45.786471006711,5.6574418120805
9,01,01010,01350,Anglefort,anglefort,45.919375342466,5.7890420547945
10,01,01011,01100,Apremont,apremont,46.20755872093,5.6599165116279
11,01,01012,01110,Aranc,aranc,46.004818529412,5.5040175490196
12,01,01013,01230,Arandas,arandas,45.891865,5.493098030303
13,01,01014,01100,Arbent,arbent,46.28619369863,5.6875171232877
14,01,01015,01300,"Arboys en Bugey","arboys en bugey",45.717191583012,5.6445241698842
15,01,01016,01190,Arbigny,arbigny,46.475566101695,4.9695481355932
16,01,01017,01230,Argis,argis,45.935171958763,5.4816940206186
17,01,01019,01510,Armix,armix,45.856628636364,5.5744975
18,01,01021,01480,Ars-sur-Formans,"ars sur formans",45.99437625,4.8191379166667
19,01,01022,01510,Artemare,artemare,45.869468571429,5.692361978022
20,01,01023,01570,Asnières-sur-Saône,"asnieres sur saone",46.386086545455,4.8860641818182
21,01,01024,01340,Attignat,attignat,46.285858903509,5.1816493421053
22,01,01025,01380,Bâgé-Dommartin,"bage dommartin",46.3223375,4.957910975
23,01,01026,01380,Bâgé-le-Châtel,"bage le chatel",46.307906444444,4.9295675555556
24,01,01027,01360,Balan,balan,45.82999739726,5.1021565753425
25,01,01028,01990,Baneins,baneins,46.119529107143,4.9065755357143
26,01,01029,01270,Beaupont,beaupont,46.42501007874,5.2629440419947
27,01,01030,01480,Beauregard,beauregard,46.000953478261,4.7569539130435
28,01,01031,01100,Bellignat,bellignat,46.241422380952,5.639985
29,01,01032,01360,Béligneux,beligneux,45.86536266055,5.1327606422018
30,01,01033,01200,Bellegarde-sur-Valserine,"bellegarde sur valserine",46.104923591837,5.8248288163265
31,01,01034,01300,Belley,belley,45.747806201923,5.6815619230769
32,01,01035,01130,Belleydoux,belleydoux,46.255558275862,5.7790405747126
33,01,01036,01260,Belmont-Luthézieu,"belmont luthezieu",45.892246890244,5.6570448170732
34,01,01037,01470,Bénonces,benonces,45.835735223881,5.4786748507463
35,01,01038,01370,Bény,beny,46.321481714286,5.2847496190476
36,01,01039,01350,Béon,beon,45.858390206186,5.7458564948454
37,01,01040,01340,Béréziat,bereziat,46.368759272727,5.0407462424242
38,01,01041,01500,Bettant,bettant,45.93878122449,5.365597755102
39,01,01042,01290,Bey,bey,46.217906547619,4.8453710714286
40,01,01043,01700,Beynost,beynost,45.84200389313,4.9964673282443
41,01,01044,01200,Billiat,billiat,46.077800909091,5.772225974026
42,01,01045,01330,Birieux,birieux,45.95549015873,5.039526984127
43,01,01046,01290,Biziat,biziat,46.22892,4.9445275572519
44,01,01047,01150,Blyes,blyes,45.843565263158,5.2492607894737
45,01,01049,01120,"La Boisse","la boisse",45.84861648,5.02185976
46,01,01050,01190,Boissey,boissey,46.3812,4.996962
47,01,01050,01380,Boissey,boissey,46.3812,4.996962
48,01,01051,01450,Bolozon,bolozon,46.196338089888,5.4674457303371
49,01,01052,01330,Bouligneux,bouligneux,46.021790328638,4.9993523474178
50,01,01053,01000,Bourg-en-Bresse,"bourg en bresse",46.20744972067,5.2461237430168
51,01,01054,01800,Bourg-Saint-Christophe,"bourg saint christophe",45.88773872093,5.1411945348837
52,01,01056,01640,Boyeux-Saint-Jérôme,"boyeux saint jerome",46.034943149171,5.4565408287293
53,01,01057,01190,Boz,boz,46.406688461538,4.9145222115385
54,01,01058,01300,Brégnier-Cordon,"bregnier cordon",45.642557962963,5.6218911111111
55,01,01059,01260,Brénaz,brenaz,45.9507006,5.7319224
56,01,01060,01110,Brénod,brenod,46.079860253165,5.6245641139241
57,01,01061,01300,Brens,brens,45.716478,5.6952011428571
58,01,01062,01360,Bressolles,bressolles,45.871669416058,5.1005599270073
59,01,01063,01460,Brion,brion,46.164567419355,5.5459588709677
60,01,01064,01470,Briord,briord,45.778150092593,5.4907816666667
61,01,01065,01310,Buellas,buellas,46.211549901961,5.1450947058824
62,01,01066,01510,"La Burbanche","la burbanche",45.865082553191,5.5447043617021
63,01,01067,01430,Ceignes,ceignes,46.122940705882,5.4945695294118
64,01,01068,01450,Cerdon,cerdon,46.074992025316,5.4736034177215
65,01,01069,01240,Certines,certines,46.132655,5.2654237837838
66,01,01071,01170,Cessy,cessy,46.317985422535,6.0760071126761
67,01,01072,01250,Ceyzériat,ceyzeriat,46.18357864,5.31511216
68,01,01073,01350,Ceyzérieu,ceyzerieu,45.832576010638,5.7116832446808
69,01,01074,01320,Chalamont,chalamont,46.002631512605,5.173992605042
70,01,01075,01480,Chaleins,chaleins,46.034425041322,4.7996861983471
71,01,01076,01230,Chaley,chaley,45.956394255319,5.544979893617
72,01,01077,01450,Challes-la-Montagne,"challes la montagne",46.123219901961,5.4601503921569
73,01,01078,01630,Challex,challex,46.175373944954,5.9679271559633
74,01,01079,01260,Champagne-en-Valromey,"champagne en valromey",45.931606372093,5.6934707441861
75,01,01080,01110,Champdor-Corcelles,"champdor corcelles",46.032686575342,5.575461369863
76,01,01081,01410,Champfromier,champfromier,46.220618641975,5.8242741358025
77,01,01082,01420,Chanay,chanay,46.001900603448,5.7795182758621
78,01,01083,01990,Chaneins,chaneins,46.088803267327,4.8552178217822
79,01,01084,01400,Chanoz-Châtenay,"chanoz chatenay",46.187230382166,5.0270835031847
80,01,01085,01240,"La Chapelle-du-Châtelard","la chapelle du chatelard",46.07192394636,5.0238535249042
81,01,01087,01130,Charix,charix,46.188639444444,5.683287
82,01,01088,01800,Charnoz-sur-Ain,"charnoz sur ain",45.873123802817,5.2199981690141
83,01,01089,01500,Château-Gaillard,"chateau gaillard",45.964916548673,5.3028414159292
84,01,01090,01320,Châtenay,chatenay,46.027040620155,5.2063486821705
85,01,01091,01200,Châtillon-en-Michaille,"chatillon en michaille",46.129789519231,5.7723086538462
86,01,01092,01320,Châtillon-la-Palud,"chatillon la palud",45.973948055556,5.2385538194444
87,01,01093,01400,Châtillon-sur-Chalaronne,"chatillon sur chalaronne",46.121240208333,4.9594278125
88,01,01094,01190,Chavannes-sur-Reyssouze,"chavannes sur reyssouze",46.436287058824,5.0009959558823
89,01,01095,01250,"Nivigne et Suran","nivigne et suran",46.287250322581,5.4291164919355
90,01,01096,01660,Chaveyriat,chaveyriat,46.203152298851,5.05054
91,01,01097,01510,Chavornay,chavornay,45.882759880952,5.7273460714286
92,01,01098,01300,Chazey-Bons,"chazey bons",45.802649,5.681342
93,01,01098,01510,Chazey-Bons,"chazey bons",45.802649,5.681342
94,01,01099,01150,Chazey-sur-Ain,"chazey sur ain",45.897791764706,5.257502254902
95,01,01100,01510,Cheignieu-la-Balme,"cheignieu la balme",45.821699632353,5.6004818382353
96,01,01101,01430,Chevillard,chevillard,46.109148734177,5.579233164557
97,01,01102,01190,Chevroux,chevroux,46.382223136095,4.9651795857988
98,01,01103,01170,Chevry,chevry,46.28400972973,6.0452245045045
99,01,01104,01200,Chézery-Forens,"chezery forens",46.1202119,5.7896126
100,01,01104,01410,Chézery-Forens,"chezery forens",46.223054,5.868303
101,01,01105,01390,Civrieux,civrieux,45.918154210526,4.8847947368421
102,01,01106,01250,Cize,cize,46.198540517241,5.4512146551724
103,01,01107,01230,Cleyzieu,cleyzieu,45.902384545455,5.4327284848485
104,01,01108,01270,Coligny,coligny,46.384596901961,5.326589372549
105,01,01109,01550,Collonges,collonges,46.14152784,5.90460952
106,01,01110,01300,Colomieu,colomieu,45.738500285714,5.6265590476191
107,01,01111,01230,Conand,conand,45.890008978102,5.4713902919708
108,01,01112,01430,Condamine,condamine,46.104543084112,5.5582528037383
109,01,01113,01400,Condeissiat,condeissiat,46.1521226875,5.087552125
110,01,01114,01200,Confort,confort,46.156618163265,5.8304369387755
111,01,01115,01310,Confrançon,confrancon,46.2677990625,5.0631065
112,01,01116,01300,Contrevoz,contrevoz,45.803002392345,5.6211401435407
113,01,01117,01300,Conzieu,conzieu,45.727867105263,5.606319868421
114,01,01118,01420,Corbonod,corbonod,45.972412773723,5.7880016058394
115,01,01121,01110,Corlier,corlier,46.032718194444,5.4985325
116,01,01122,01110,Cormaranche-en-Bugey,"cormaranche en bugey",45.947902282609,5.61038
117,01,01123,01290,Cormoranche-sur-Saône,"cormoranche sur saone",46.23802942623,4.8349332786885
118,01,01124,01560,Cormoz,cormoz,46.433602965779,5.2256662357414
119,01,01125,01250,Corveissiat,corveissiat,46.254723069767,5.4688593953488
120,01,01127,01370,Courmangoux,courmangoux,46.326120622407,5.3504300414938
121,01,01128,01560,Courtes,courtes,46.457129483871,5.1139603870968
122,01,01129,01320,Crans,crans,45.965866390244,5.1933110731707
123,01,01130,01340,Cras-sur-Reyssouze,"cras sur reyssouze",46.313415243243,5.1783688648649
124,01,01133,01350,Cressin-Rochefort,"cressin rochefort",45.784325921053,5.7588935526316
125,01,01134,01290,Crottet,crottet,46.277172,4.892867
126,01,01134,01750,Crottet,crottet,46.3070867,4.8676037
127,01,01135,01170,Crozet,crozet,46.290464240506,6.0029505696202
128,01,01136,01290,Cruzilles-lès-Mépillat,"cruzilles les mepillat",46.221429230769,4.8756563636364
129,01,01138,01350,Culoz,culoz,45.855868235294,5.7754341176471
